Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,5,3009800.0,2600.0,0,2,3,0,13,0,1460,1157,341932,0,1,0,1,BENIGN
6,32,8093.75,93.75,16,450,31,1,3,0,259,86,22360,0,1,0,1,BENIGN
17,259,2223.938223938224,11.583011583011583,129,33024,258,1,3,152,212,192,1200,0,0,0,0,BENIGN
17,14535,10.113519091847266,0.13759889920880633,14535,1,14535,14535,2,62,85,73,264,0,0,0,0,BENIGN
17,14768,44.75893824485374,0.5417118093174431,2109,10385597,8936,351,8,32,243,82,4640,0,0,0,0,BENIGN
17,14016,84.47488584474885,0.7848173515981736,1401,7250569,8928,2,11,36,194,107,2732,0,0,0,0,BENIGN
17,14061,93.59220539079725,0.8534243652656284,1278,7121996,9188,1,12,46,249,109,3938,0,0,0,0,BENIGN
17,14983,29247.013281719283,123.3397850897684,8,1911,612,0,1848,31,1231,237,56250,0,0,0,0,BENIGN
6,14439,11580.372601980747,9.211164208047649,109,90564,2415,0,133,0,2848,1257,290897,0,1,0,39,BENIGN
6,7281,0.0,0.5493750858398572,2427,1985773,4000,1281,4,0,0,0,0,0,4,0,0,BENIGN
6,14753,2686.504439774961,11.04860028468786,91,158252,4096,0,163,0,2848,243,207791,0,1,0,54,BENIGN
6,7384,0.0,0.5417118093174431,2461,1870485,4000,1384,4,0,0,0,0,0,4,0,0,BENIGN
17,13759,127.77091358383603,1.2355549095137728,859,684335,2704,16,17,32,259,103,6655,0,0,0,0,BENIGN
17,8529,77.26579903857427,0.9379763160980186,1218,2152382,3546,171,8,36,165,82,2575,0,0,0,0,BENIGN
17,10255,97.22086786933204,0.8776206728425159,1281,1656203,3771,51,9,45,317,110,8266,0,0,0,0,BENIGN
6,14899,14682.19343580106,20.269816766225922,49,19497,1780,0,302,0,2848,724,514989,0,1,0,117,BENIGN
17,13245,87.73121932804833,0.9060022650056625,1204,1422380,3960,16,12,29,288,96,5614,0,0,0,0,BENIGN
17,14963,34413.08561117423,58.6112410612845,17,895,199,0,877,31,831,587,71392,0,0,0,0,BENIGN
6,85,2917.6470588235293,47.05882352941177,28,102,40,20,4,0,248,62,15376,0,1,0,1,BENIGN
6,10455,333.3333333333333,1.530368244858919,697,1488571,3534,4,16,0,1303,217,192937,0,1,0,5,BENIGN
6,65,131676.92307692306,169.23076923076923,6,92,30,0,11,0,1460,778,392114,0,1,0,5,BENIGN
6,37,168189.1891891892,243.24324324324326,4,28,11,0,9,0,1460,691,331004,0,1,0,5,BENIGN
6,40,229200.0,250.0,4,37,15,0,10,0,2920,916,789936,0,1,0,5,BENIGN
6,36,244222.22222222222,305.55555555555554,3,30,12,0,11,0,1460,799,372245,0,1,0,5,BENIGN
6,35,264857.14285714284,314.2857142857143,3,28,12,0,11,0,1460,842,362977,0,1,0,5,BENIGN
6,12116,6854.902608121492,11.554968636513701,87,138636,3438,0,140,0,2848,593,441432,0,1,0,52,BENIGN
6,10386,9382.14904679376,12.70941652224148,79,110664,3582,0,132,0,2848,738,475201,0,1,0,49,BENIGN
6,158,28658.227848101265,56.962025316455694,19,640,62,0,9,0,1440,503,364826,0,1,0,4,BENIGN
6,11774,3266.6893154408017,8.238491591642603,122,149945,3353,0,97,0,1424,396,299681,0,1,0,32,BENIGN
6,9324,6527.241527241527,14.04976404976405,71,21327,922,0,131,0,2848,464,472134,0,1,0,47,BENIGN
6,7179,1579.3285972976737,2.2287226633235826,478,3268167,7013,0,16,0,1440,708,380347,0,1,0,7,BENIGN
6,90,46688.88888888889,77.77777777777777,15,231,33,0,7,0,1440,600,376678,0,1,0,3,BENIGN
6,206,30305.825242718445,43.689320388349515,25,999,87,0,9,0,2864,693,951373,0,1,0,4,BENIGN
6,101,88920.79207920792,108.91089108910892,10,418,49,0,11,0,1460,816,363894,0,1,0,5,BENIGN
6,142,54760.56338028169,77.46478873239437,14,491,47,0,11,0,1460,706,462175,0,1,0,3,BENIGN
6,713,19511.921458625526,29.453015427769987,35,3240,205,0,21,0,1460,662,272416,0,1,0,13,BENIGN
6,1099,30003.639672429483,30.02729754322111,34,15252,696,0,33,0,4380,999,703659,0,1,0,16,BENIGN
6,12998,482.99738421295586,1.30789352208032,812,3590464,6769,0,17,0,1440,369,241332,0,1,0,6,BENIGN
6,24,11750.0,125.0,12,98,19,5,3,0,282,94,26508,0,1,0,1,BENIGN
17,8812,32.90966863368134,0.45392646391284613,2937,23524006,8537,55,4,56,80,72,123,0,0,0,0,BENIGN
17,13605,58.43439911797133,0.3675119441381845,3401,14218904,6745,53,5,40,297,159,16239,0,0,0,0,BENIGN
17,9208,24.76107732406603,0.43440486533449174,3069,21531129,8422,186,4,32,110,57,1284,0,0,0,0,BENIGN
17,7256,35.97023153252481,0.5512679162072768,2418,13060602,6587,166,4,32,133,65,2081,0,0,0,0,BENIGN
17,11687,8900.915547189185,16.342945152733808,61,71066,2714,0,191,31,999,544,75914,0,0,0,0,BENIGN
6,118,31398.305084745763,59.32203389830509,19,427,45,0,7,0,1440,529,427441,0,1,0,2,BENIGN
6,10123,127.4325792749185,0.49392472587177716,2530,25362056,10085,0,5,0,645,258,124662,0,0,0,2,BENIGN
6,110,45563.63636363636,72.72727272727273,15,563,51,0,8,0,1460,626,398921,0,1,0,4,BENIGN
6,411,13929.440389294405,29.197080291970803,37,2258,138,0,12,0,2880,477,751537,0,1,0,6,BENIGN
6,212,19872.64150943396,42.45283018867924,26,2202,136,0,9,0,1440,468,348375,0,1,0,4,BENIGN
6,236,3004.237288135593,25.423728813559322,47,3745,150,0,6,0,518,118,42069,0,1,0,3,BENIGN
6,290,2334.4827586206898,20.689655172413794,58,6789,200,0,6,0,486,112,37134,0,1,0,3,BENIGN
17,9219,17.897819720143183,0.21694326933506888,9219,1,9219,9219,2,48,117,82,2380,0,0,0,0,BENIGN
17,9221,18.76152261143043,0.21689621516104543,9221,1,9221,9221,2,32,141,86,5940,0,0,0,0,BENIGN
6,16,16687.5,187.5,8,128,16,0,3,0,267,89,23763,0,1,0,1,BENIGN
6,8879,1414.9115891429215,3.4913841648834327,295,1004727,5129,0,31,0,1424,405,328701,0,0,0,11,BENIGN
6,102,1916833.3333333333,1362.7450980392157,0,44,18,0,139,0,2920,1406,215092,0,1,0,10,BENIGN
17,14810,19.918973666441595,0.337609723160027,3702,18965498,8704,13,5,44,109,59,795,0,0,0,0,BENIGN
17,14809,19.04247417111216,0.33763252076440003,3702,18969709,8705,13,5,28,132,56,1961,0,0,0,0,BENIGN
6,13288,555.9151113786876,1.8813967489464178,553,3475117,9065,0,25,0,1424,295,228362,0,1,0,12,BENIGN
17,12333,152.76088542933593,1.621665450417579,649,998701,2949,0,20,47,247,94,2901,0,0,0,0,BENIGN
